"Tarih","PTF","SMF","Pozitif Dengesizlik Fiyatý (TL/MWh)","Negatif Dengesizlik Fiyatý (TL/MWh)","SMF Yön"
"01.09.23 00:00","2.550,01","0,00","0,00","2.626,51","-"
"01.09.23 01:00","2.196,42","0,00","0,00","2.262,31","-"
"01.09.23 02:00","2.000,00","0,00","0,00","2.060,00","-"
"01.09.23 03:00","1.830,00","0,00","0,00","1.884,90","-"
"01.09.23 04:00","1.649,99","0,00","0,00","1.699,49","-"
"01.09.23 05:00","1.650,00","0,00","0,00","1.699,50","-"
"01.09.23 06:00","1.829,99","0,00","0,00","1.884,89","-"
"01.09.23 07:00","1.700,00","0,00","0,00","1.751,00","-"
"01.09.23 08:00","2.598,08","0,00","0,00","2.676,02","-"
"01.09.23 09:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 10:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 11:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 12:00","2.198,00","0,00","0,00","2.263,94","-"
"01.09.23 13:00","2.205,54","0,00","0,00","2.271,71","-"
"01.09.23 14:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 15:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 16:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 17:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 18:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 19:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 20:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 21:00","2.700,00","0,00","0,00","2.781,00","-"
"01.09.23 22:00","2.299,99","0,00","0,00","2.368,99","-"
"01.09.23 23:00","2.239,10","0,00","0,00","2.306,27","-"
"02.09.23 00:00","2.250,00","0,00","0,00","2.317,50","-"
"02.09.23 01:00","2.087,66","0,00","0,00","2.150,29","-"
"02.09.23 02:00","1.836,35","0,00","0,00","1.891,44","-"
"02.09.23 03:00","2.120,00","0,00","0,00","2.183,60","-"
"02.09.23 04:00","1.786,61","0,00","0,00","1.840,21","-"
"02.09.23 05:00","1.902,99","0,00","0,00","1.960,08","-"
"02.09.23 06:00","1.778,14","0,00","0,00","1.831,48","-"
"02.09.23 07:00","1.489,98","0,00","0,00","1.534,68","-"
"02.09.23 08:00","1.699,99","0,00","0,00","1.750,99","-"
"02.09.23 09:00","2.185,00","0,00","0,00","2.250,55","-"
"02.09.23 10:00","1.798,00","0,00","0,00","1.851,94","-"
"02.09.23 11:00","1.650,00","0,00","0,00","1.699,50","-"
"02.09.23 12:00","1.489,99","0,00","0,00","1.534,69","-"
"02.09.23 13:00","1.650,01","0,00","0,00","1.699,51","-"
"02.09.23 14:00","1.786,61","0,00","0,00","1.840,21","-"
"02.09.23 15:00","2.124,99","0,00","0,00","2.188,74","-"
"02.09.23 16:00","2.385,00","0,00","0,00","2.456,55","-"
"02.09.23 17:00","1.816,99","0,00","0,00","1.871,50","-"
"02.09.23 18:00","2.425,00","0,00","0,00","2.497,75","-"
"02.09.23 19:00","2.598,04","0,00","0,00","2.675,98","-"
"02.09.23 20:00","2.595,71","0,00","0,00","2.673,58","-"
"02.09.23 21:00","2.250,00","0,00","0,00","2.317,50","-"
"02.09.23 22:00","1.700,01","0,00","0,00","1.751,01","-"
"02.09.23 23:00","1.349,98","0,00","0,00","1.390,48","-"
"03.09.23 00:00","2.400,00","0,00","0,00","2.472,00","-"
"03.09.23 01:00","2.194,99","0,00","0,00","2.260,84","-"
"03.09.23 02:00","2.026,61","0,00","0,00","2.087,41","-"
"03.09.23 03:00","1.489,99","0,00","0,00","1.534,69","-"
"03.09.23 04:00","1.817,00","0,00","0,00","1.871,51","-"
"03.09.23 05:00","1.817,00","0,00","0,00","1.871,51","-"
"03.09.23 06:00","1.489,98","0,00","0,00","1.534,68","-"
"03.09.23 07:00","1.170,24","0,00","0,00","1.205,35","-"
"03.09.23 08:00","1.170,24","0,00","0,00","1.205,35","-"
"03.09.23 09:00","1.299,99","0,00","0,00","1.338,99","-"
"03.09.23 10:00","1.349,97","0,00","0,00","1.390,47","-"
"03.09.23 11:00","1.250,00","0,00","0,00","1.287,50","-"
"03.09.23 12:00","980,00","0,00","0,00","1.009,40","-"
"03.09.23 13:00","1.170,24","0,00","0,00","1.205,35","-"
"03.09.23 14:00","1.248,99","0,00","0,00","1.286,46","-"
"03.09.23 15:00","1.349,97","0,00","0,00","1.390,47","-"
"03.09.23 16:00","1.489,99","0,00","0,00","1.534,69","-"
"03.09.23 17:00","2.009,98","0,00","0,00","2.070,28","-"
"03.09.23 18:00","1.849,01","0,00","0,00","1.904,48","-"
"03.09.23 19:00","2.399,99","0,00","0,00","2.471,99","-"
